school_name,group_id,xuanke_req,is_special,group_name,min_score,subject,source
南京审计大学金审学院,01,不限,否,南京审计大学金审学院01专业组(不限),515,历史,eol.cn 征求志愿
南京工业大学浦江学院,03,不限,是,南京工业大学浦江学院03专业组(不限)(中外合作办学),499,历史,eol.cn 征求志愿
南京财经大学红山学院,01,不限,否,南京财经大学红山学院01专业组(不限),511,历史,eol.cn 征求志愿
中国矿业大学徐海学院,01,不限,否,中国矿业大学徐海学院01专业组(不限),509,历史,eol.cn 征求志愿
江苏师范大学科文学院,01,不限,否,江苏师范大学科文学院01专业组(不限),507,历史,eol.cn 征求志愿
苏州大学应用技术学院,01,不限,否,苏州大学应用技术学院01专业组(不限),509,历史,eol.cn 征求志愿
苏州科技大学天平学院,01,不限,否,苏州科技大学天平学院01专业组(不限),509,历史,eol.cn 征求志愿
南通大学杏林学院,01,不限,否,南通大学杏林学院01专业组(不限),506,历史,eol.cn 征求志愿
江苏大学京江学院,02,生物,否,江苏大学京江学院02专业组(生物),486,历史,eol.cn 征求志愿
南京医科大学康达学院,01,不限,否,南京医科大学康达学院01专业组(不限),514,历史,eol.cn 征求志愿
常州大学怀德学院,01,不限,否,常州大学怀德学院01专业组(不限),506,历史,eol.cn 征求志愿
南京传媒学院,01,不限,否,南京传媒学院01专业组(不限),506,历史,eol.cn 征求志愿
三江学院,01,不限,否,三江学院01专业组(不限),504,历史,eol.cn 征求志愿
无锡太湖学院,01,不限,否,无锡太湖学院01专业组(不限),511,历史,eol.cn 征求志愿
南通理工学院,01,不限,否,南通理工学院01专业组(不限),507,历史,eol.cn 征求志愿
温州大学,01,不限,否,温州大学01专业组(不限),545,历史,eol.cn 征求志愿
安徽医科大学,02,化学,否,安徽医科大学02专业组(化学),481,历史,eol.cn 征求志愿
安徽农业大学,01,不限,否,安徽农业大学01专业组(不限),544,历史,eol.cn 征求志愿
安徽师范大学,02,不限,否,安徽师范大学02专业组(不限),540,历史,eol.cn 征求志愿
江西科技师范大学,02,不限,否,江西科技师范大学02专业组(不限),545,历史,eol.cn 征求志愿
赣南师范大学,03,不限,否,赣南师范大学03专业组(不限),519,历史,eol.cn 征求志愿
景德镇陶瓷大学,02,化学,否,景德镇陶瓷大学02专业组(化学),478,历史,eol.cn 征求志愿
井冈山大学,01,不限,否,井冈山大学01专业组(不限),515,历史,eol.cn 征求志愿
