school_code,school_name,group_code,group_id,xuanke_req,plan_count,admitted,min_score,min_rank,year,subject,is_special
8211,青岛滨海学院,02,02,不限,30,0,488,144546,2024,物理,否
8211,青岛滨海学院,03,03,化学,30,0,462,180881,2024,物理,否
8212,烟台南山学院,02,02,化学,30,0,469,175562,2024,物理,否
8213,潍坊科技学院,03,03,不限,30,0,490,143183,2024,物理,否
8213,潍坊科技学院,04,04,化学,30,0,477,169483,2024,物理,否
8214,山东英才学院,02,02,化学,30,0,462,180881,2024,物理,否
8215,青岛恒星科技学院,03,03,不限,30,0,488,144546,2024,物理,否
8215,青岛恒星科技学院,04,04,化学,30,0,462,180881,2024,物理,否
8216,青岛黄海学院,02,02,不限,30,0,490,143183,2024,物理,否
8216,青岛黄海学院,03,03,化学,30,0,462,180881,2024,物理,否
8217,山东现代学院,02,02,不限,30,0,488,144546,2024,物理,否
8217,山东现代学院,03,03,化学,30,0,462,180881,2024,物理,否
8218,山东协和学院,02,02,不限,30,0,490,143183,2024,物理,否
8218,山东协和学院,03,03,化学,30,0,467,177082,2024,物理,否
8219,烟台理工学院,02,02,不限,30,0,500,110000,2024,物理,否
8219,烟台理工学院,03,03,化学,30,0,480,150000,2024,物理,否
8220,青岛城市学院,04,04,不限,30,0,489,143864,2024,物理,否
8220,青岛城市学院,05,05,不限,30,0,488,144546,2024,物理,否
8220,青岛城市学院,06,06,不限,30,0,503,108350,2024,物理,否
8220,青岛城市学院,07,07,化学,30,0,468,176322,2024,物理,否
8220,青岛城市学院,08,08,化学,30,0,462,180881,2024,物理,否
8220,青岛城市学院,09,09,化学,30,0,470,174802,2024,物理,否
8223,泰山科技学院,03,03,不限,30,0,489,143864,2024,物理,否
8223,泰山科技学院,04,04,化学,30,0,462,180881,2024,物理,否
8225,青岛工学院,02,02,不限,30,0,489,143864,2024,物理,否
8225,青岛工学院,03,03,化学,30,0,462,180881,2024,物理,否
8226,青岛农业大学海都学院,03,03,不限,30,0,492,141819,2024,物理,否
8226,青岛农业大学海都学院,04,04,化学,30,0,469,175562,2024,物理,否
8226,青岛农业大学海都学院,05,05,生物,30,0,490,143183,2024,物理,否
8227,齐鲁理工学院,02,02,不限,30,0,488,144546,2024,物理,否
8227,齐鲁理工学院,03,03,化学,30,0,462,180881,2024,物理,否
8228,山东财经大学东方学院,02,02,不限,30,0,493,141138,2024,物理,否
8228,山东财经大学东方学院,03,03,化学,30,0,477,169483,2024,物理,否
8230,烟台科技学院,02,02,化学,30,0,465,178601,2024,物理,否
8231,青岛电影学院,02,02,化学,30,0,462,180881,2024,物理,否
8249,山东工程职业技术大学,02,02,不限,30,0,492,141819,2024,物理,否
8260,北京城市学院,02,02,不限,30,0,487,145228,2024,物理,否
8260,北京城市学院,03,03,化学,30,0,465,178601,2024,物理,否
8260,北京城市学院,04,04,地理,30,0,506,106700,2024,物理,否
8262,首都师范大学科德学院,02,02,不限,30,0,481,149318,2024,物理,否
8262,首都师范大学科德学院,03,03,化学,30,0,462,180881,2024,物理,否
8263,北京金融科技学院,02,02,不限,30,0,478,168723,2024,物理,否
8263,北京金融科技学院,03,03,化学,30,0,462,180881,2024,物理,否
8264,北京邮电大学世纪学院,02,02,不限,30,0,483,147954,2024,物理,否
8264,北京邮电大学世纪学院,03,03,化学,30,0,462,180881,2024,物理,否
8265,北京工业大学耿丹学院,02,02,不限,30,0,481,149318,2024,物理,否
8265,北京工业大学耿丹学院,03,03,化学,30,0,462,180881,2024,物理,否
8266,北京第二外国语学院中瑞酒店管理学院,02,02,不限,30,0,473,172522,2024,物理,否
8290,天津天狮学院,03,03,不限,30,0,486,145909,2024,物理,否
8290,天津天狮学院,04,04,化学,30,0,462,180881,2024,物理,否
8291,天津外国语大学滨海外事学院,02,02,不限,30,0,488,144546,2024,物理,否
8293,天津商业大学宝德学院,03,03,不限,30,0,481,149318,2024,物理,否
8293,天津商业大学宝德学院,04,04,不限,30,0,488,144546,2024,物理,否
8294,天津医科大学临床医学院,02,02,不限,30,0,489,143864,2024,物理,否
8297,天津理工大学中环信息学院,02,02,不限,30,0,491,142501,2024,物理,否
8297,天津理工大学中环信息学院,03,03,化学,30,0,463,180121,2024,物理,否
8298,北京科技大学天津学院,02,02,不限,30,0,489,143864,2024,物理,否
8298,北京科技大学天津学院,03,03,化学,30,0,462,180881,2024,物理,否
8299,天津仁爱学院,02,02,不限,30,0,484,147273,2024,物理,否
8299,天津仁爱学院,03,03,化学,30,0,462,180881,2024,物理,否
8301,天津财经大学珠江学院,02,02,不限,30,0,489,143864,2024,物理,否
8301,天津财经大学珠江学院,03,03,化学,30,0,467,177082,2024,物理,否
8313,河北科技学院,02,02,不限,30,0,488,144546,2024,物理,否
8313,河北科技学院,03,03,化学,30,0,462,180881,2024,物理,否
8314,河北外国语学院,03,03,不限,30,0,485,146591,2024,物理,否
8314,河北外国语学院,04,04,不限,30,0,483,147954,2024,物理,否
8316,华北理工大学轻工学院,02,02,不限,30,0,487,145228,2024,物理,否
